#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:47:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589104a83d36	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/137/4186/stars
#-nav=cat:J/AJ/137/4186&tab:{J/AJ/137/4186/stars}&key:source=J/AJ/137/4186&HTTPPRM:&&-ref=VIZ589104a83d36&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=Vmag&-out=B-V&-out=U-B&-out=V-R&-out=R-I&-out=V-I&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=SimbadName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/137/4186/stars
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/137/4186/stars
#-order=I
#-out=Name
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-R
#-out=R-I
#-out=V-I
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51374186
#Name: J/AJ/137/4186
#Title: UBVRI standards around celestial equator (Landolt, 2009)
#Table	J_AJ_137_4186_stars:
#Name: J/AJ/137/4186/stars
#Title: UBVRI photometry, accurate coordinates and proper motions of standard stars {\em(tables 2 and 5 of the paper)}
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	The Johnson V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	? Mean error of the mean of Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	The Johnson (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F7.4)	? Mean error of the mean of B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	The Johnson (U-B) color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F7.4)	? Mean error of the mean of U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	V-R	(F6.3)	The Johnson-Cousins (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-R	(F7.4)	? Mean error of the mean of V-R	[ucd=stat.error;phot.color;em.opt.V]
#Column	R-I	(F6.3)	The Cousins (R-I) color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	e_R-I	(F7.4)	? Mean error of the mean of R-I	[ucd=stat.error;phot.color;em.opt.R]
#Column	V-I	(F6.3)	The Johnson-Cousins (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-I	(F7.4)	? Mean error of the mean of V-I	[ucd=stat.error;phot.color;em.opt.V]
#Column	Nobs	(I3)	Number of times star was observed	[ucd=meta.number]
#Column	Nnig	(I3)	Number of nights star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	UCAC2	(A8)	The UCAC2 identifier, Cat. I/289	[ucd=meta.id]
#Column	2MASS-PSC	(A17)	The 2MASS-PSC identifier, Cat. II/246	[ucd=meta.id]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	Ref	(I1)	Proper motion reference (1)	[ucd=meta.ref;pos.pm;pos.frame]
#Column	SimbadName	(a20)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|Vmag|e_Vmag|B-V|e_B-V|U-B|e_U-B|V-R|e_V-R|R-I|e_R-I|V-I|e_V-I|Nobs|Nnig|RAJ2000|DEJ2000|UCAC2|2MASS-PSC|pmRA|pmDE|Ref|SimbadName
 |mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag| | |"h:m:s"|"d:m:s"| | |mas/yr|mas/yr| |
-----------|------|-------|------|-------|------|-------|------|-------|------|-------|------|-------|---|---|------------|------------|--------|-----------------|--------|--------|-|--------------------
TPhe I     |14.820| 0.0026| 0.764| 0.0032| 0.338| 0.0072| 0.422| 0.0036| 0.395| 0.0098| 0.817| 0.0110| 25| 13|00 30 04.593|-46 28 10.17|11909220|J00300459-4628102|   13.60|   -8.50|1|[L92b] TPhe I
TPhe A     |14.651| 0.0028| 0.793| 0.0046| 0.380| 0.0071| 0.435| 0.0019| 0.405| 0.0035| 0.841| 0.0032| 29| 12|00 30 09.594|-46 31 28.91|11679110|J00300959-4631289|    8.30|   -2.00|1|[L92b] TPhe A
TPhe H     |14.942| 0.0029| 0.740| 0.0029| 0.225| 0.0071| 0.425| 0.0035| 0.425| 0.0077| 0.851| 0.0098| 23| 12|00 30 09.683|-46 27 24.30|11909222|J00300968-4627243|   11.20|   -8.10|1|[L92b] TPhe H
TPhe B     |12.334| 0.0115| 0.405| 0.0026| 0.156| 0.0039| 0.262| 0.0020| 0.271| 0.0019| 0.535| 0.0035| 29| 17|00 30 16.313|-46 27 58.57|11909226|J00301631-4627586|    1.00|   -5.40|1|[L92b] TPhe B
TPhe C     |14.376| 0.0022|-0.298| 0.0024|-1.217| 0.0043|-0.148| 0.0038|-0.211| 0.0133|-0.360| 0.0149| 39| 23|00 30 16.980|-46 32 21.40|        |J00301697-4632214|  -24.00|  -22.00|2|[L92b] TPhe C
TPhe D     |13.118| 0.0033| 1.551| 0.0030| 1.871| 0.0118| 0.849| 0.0015| 0.810| 0.0023| 1.663| 0.0030| 37| 23|00 30 18.342|-46 31 19.85|11679116|J00301834-4631198|    2.30|    1.30|1|[L92b] TPhe D
TPhe E     |11.631| 0.0017| 0.443| 0.0013|-0.103| 0.0025| 0.276| 0.0007| 0.283| 0.0016| 0.564| 0.0020| 38| 10|00 30 19.768|-46 24 35.60|11909227|                 |   51.40|    1.60|1|[L92b] TPhe E
TPhe J     |13.434| 0.0023| 1.465| 0.0043| 1.229| 0.0059| 0.980| 0.0011| 1.063| 0.0015| 2.043| 0.0011| 28| 15|00 30 23.020|-46 23 51.60|        |J00302301-4623516|  -16.00| -208.00|2|[L92b] TPhe J
TPhe F     |12.475| 0.0008| 0.853| 0.0024| 0.534| 0.0095| 0.492| 0.0005| 0.437| 0.0014| 0.929| 0.0029| 19| 10|00 30 49.820|-46 33 24.07|11679132|J00304980-4633239|   80.60|  -10.20|1|[L92b] TPhe F
TPhe K     |12.935| 0.0007| 0.806| 0.0007| 0.402| 0.0163| 0.473| 0.0007| 0.429| 0.0001| 0.909| 0.0007|  2|  2|00 30 56.315|-46 23 26.04|11909244|J00305632-4623260|  -11.20|   -1.60|1|[L92b] TPhe K
TPhe G     |10.447| 0.0008| 1.545| 0.0011| 1.910| 0.0049| 0.934| 0.0008| 1.086| 0.0016| 2.025| 0.0017| 20| 10|00 31 04.303|-46 22 51.35|11909246|J00310430-4622513|   14.30|    5.60|1|[L92b] TPhe G
PG0029+024 |15.268| 0.0094| 0.362| 0.0174|-0.184| 0.0112| 0.251| 0.0161| 0.337| 0.0125| 0.593| 0.0067|  5|  2|00 31 42.200|+02 37 44.30|        |J00314220+0237443|   20.00|  -26.00|2|PG 0029+024
HD 2892    | 9.360| 0.0026| 1.322| 0.0022| 1.414| 0.0018| 0.692| 0.0017| 0.628| 0.0021| 1.321| 0.0017| 18| 13|00 32 12.153|+01 11 17.28|32135072|J00321215+0111171|    7.80|   -1.00|1|HD 2892
BD -15 115 |10.885| 0.0015|-0.199| 0.0014|-0.838| 0.0019|-0.095| 0.0017|-0.110| 0.0019|-0.204| 0.0028| 15| 12|00 38 20.261|-14 59 54.14|26365276|J00382025-1459541|    7.10|    1.40|1|BD -15 115
PG0039+049 |12.877| 0.0020|-0.019| 0.0030|-0.871| 0.0055| 0.067| 0.0035| 0.097| 0.0055| 0.164| 0.0045|  4|  3|00 42 06.121|+05 09 23.41|33505322|J00420611+0509233|   12.50|  -13.40|1|PG 0039+049
BD -11 162 |11.184| 0.0015|-0.082| 0.0015|-1.115| 0.0031| 0.051| 0.0015| 0.092| 0.0014| 0.145| 0.0023| 17| 14|00 52 15.069|-10 39 46.09|27950061|J00521507-1039460|  -30.40|  -32.70|1|BD -11 162
92 309     |13.842| 0.0035| 0.513| 0.0057|-0.024| 0.0028| 0.326| 0.0014| 0.325| 0.0035| 0.652| 0.0014|  2|  1|00 53 14.047|+00 46 02.14|31969306|J00531404+0046020|    4.40|  -10.20|1|SA 92-309
92 312     |10.598| 0.0014| 1.636| 0.0025| 1.992| 0.0061| 0.898| 0.0005| 0.906| 0.0006| 1.806| 0.0011|  5|  5|00 53 16.533|+00 48 28.90|31969310|J00531653+0048286|   -0.30|   -5.50|1|SA 92-312
92 322     |12.676| 0.0007| 0.528| 0.0049|-0.002| 0.0028| 0.302| 0.0014| 0.305| 0.0007| 0.608| 0.0007|  2|  1|00 53 46.962|+00 47 34.91|31969326|J00534695+0047348|    0.20|  -12.20|1|SA 92-322
92 245     |13.818| 0.0028| 1.418| 0.0079| 1.189| 0.0301| 0.929| 0.0024| 0.907| 0.0024| 1.836| 0.0028| 21|  8|00 54 16.140|+00 39 54.60|        |J00541613+0039546|   26.00|   24.00|2|SA 92-245
92 248     |15.346| 0.0255| 1.128| 0.0160| 1.289| 0.0955| 0.690| 0.0215| 0.553| 0.0145| 1.245| 0.0175|  4|  2|00 54 30.770|+00 40 16.90|        |J00543077+0040169|   16.00|    6.00|2|SA 92-248
92 249     |14.325| 0.0049| 0.699| 0.0085| 0.240| 0.0114| 0.399| 0.0046| 0.370| 0.0065| 0.770| 0.0073| 17|  8|00 54 33.589|+00 41 05.39|31969347|J00543358+0041053|   10.40|  -10.60|1|SA 92-249
92 250     |13.178| 0.0022| 0.814| 0.0034| 0.480| 0.0074| 0.446| 0.0022| 0.394| 0.0022| 0.840| 0.0029| 20|  9|00 54 37.154|+00 38 57.57|31969348|J00543714+0038574|   40.10|   -8.10|1|SA 92-250
92 330     |15.073| 0.0141| 0.568| 0.0297|-0.115| 0.0163| 0.331| 0.0304| 0.334|       | 0.666| 0.0304|  2|  1|00 54 43.371|+00 43 26.09|31969351|J00544336+0043260|    8.10|  -10.60|1|SA 92-330
92 252     |14.932| 0.0033| 0.517| 0.0055|-0.140| 0.0082| 0.326| 0.0047| 0.332| 0.0072| 0.666| 0.0068| 41| 18|00 54 47.255|+00 39 24.55|31969353|J00544723+0039244|   -5.60|  -18.20|1|SA 92-252
92 253     |14.085| 0.0032| 1.131| 0.0062| 0.955| 0.0221| 0.719| 0.0027| 0.616| 0.0043| 1.337| 0.0050| 39| 17|00 54 51.364|+00 40 19.73|31969356|J00545136+0040198|   20.30|  -27.60|1|SA 92-253
92 335     |12.523| 0.0007| 0.672| 0.0028| 0.208| 0.0049| 0.380|       | 0.338| 0.0014| 0.719| 0.0014|  2|  1|00 54 58.294|+00 44 00.63|31969359|J00545830+0044006|  -14.70|  -11.40|1|SA 92-335
92 339     |15.579| 0.0087| 0.449| 0.0117|-0.177| 0.0126| 0.306| 0.0117| 0.339| 0.0197| 0.645| 0.0177| 19|  8|00 55 03.250|+00 44 11.00|        |J00550324+0044110|   16.00|  -10.00|2|SA 92-339
92 342     |11.615| 0.0008| 0.435| 0.0006|-0.037| 0.0016| 0.265| 0.0007| 0.271| 0.0007| 0.537| 0.0012| 73| 59|00 55 09.905|+00 43 12.88|31969367|J00550990+0043129|   -1.90|   -1.40|1|SA 92-342
92 188     |14.751| 0.0096| 1.050| 0.0187| 0.751| 0.0551| 0.679| 0.0051| 0.573| 0.0043| 1.254| 0.0088| 14|  6|00 55 10.480|+00 23 09.20|        |J00551047+0023092|  -28.00|  -40.00|2|SA 92-188
92 409     |10.627| 0.0031| 1.138| 0.0027| 1.136| 0.0085| 0.734| 0.0022| 0.625| 0.0027| 1.361| 0.0018|  5|  3|00 55 11.977|+00 55 57.53|31969368|J00551195+0055572| -230.40| -127.60|1|SA 92-409
92 410     |14.984| 0.0058| 0.398| 0.0064|-0.134| 0.0083| 0.239| 0.0052| 0.242| 0.0102| 0.484| 0.0117| 27| 13|00 55 14.254|+01 01 51.05|32135844|J00551424+0101508|    4.10|  -11.40|1|SA 92-410
92 412     |15.036| 0.0054| 0.457| 0.0077|-0.152| 0.0133| 0.285| 0.0069| 0.304| 0.0094| 0.589| 0.0106| 27| 13|00 55 15.666|+01 01 54.33|32135847|J00551565+0101541|    5.00|   -9.10|1|SA 92-412
92 259     |14.997| 0.0115| 0.642| 0.0219| 0.108| 0.0214| 0.370| 0.0191| 0.452| 0.0202| 0.821| 0.0150|  3|  1|00 55 21.618|+00 40 31.00|31969372|J00552161+0040312|   -3.00|  -10.20|1|SA 92-259
92 345     |15.216| 0.0007| 0.745| 0.0014| 0.121| 0.0339| 0.465| 0.0057| 0.476| 0.0113| 0.941| 0.0057|  2|  1|00 55 23.753|+00 51 07.19|31969374|J00552375+0051075|    2.60|  -15.20|1|SA 92-345
92 347     |15.752| 0.0255| 0.543| 0.0280|-0.097| 0.0355| 0.339| 0.0295| 0.318| 0.0755| 0.658| 0.0995|  4|  2|00 55 26.072|+00 50 48.86|31969376|J00552607+0050491|   -3.50|  -12.30|1|SA 92-347
92 348     |12.109| 0.0010| 0.598| 0.0015| 0.056| 0.0035| 0.345| 0.0015| 0.341| 0.0005| 0.688| 0.0020|  4|  2|00 55 29.457|+00 44 32.78|31969377|J00552945+0044329|   -2.10|  -13.60|1|SA 92-348
92 417     |15.922| 0.0127| 0.477| 0.0188|-0.185| 0.0318| 0.351| 0.0151| 0.305| 0.0678| 0.657| 0.0625|  6|  3|00 55 32.200|+00 53 07.30|        |J00553219+0053073|   20.00|   -6.00|2|SA 92-417
92 260     |15.071| 0.0090| 1.162| 0.0093| 1.115| 0.0477| 0.719| 0.0070| 0.608| 0.0057| 1.328| 0.0080|  9|  4|00 55 32.938|+00 38 23.07|31969379|J00553292+0038233|    1.90|   -8.10|2|SA 92-260
92 263     |11.782| 0.0008| 1.046| 0.0007| 0.844| 0.0018| 0.562| 0.0006| 0.521| 0.0006| 1.083| 0.0007| 79| 60|00 55 39.384|+00 36 19.50|31969386|J00553937+0036197|    6.30|   -2.30|1|SA 92-263
92 497     |13.642|       | 0.729|       | 0.257|       | 0.404|       | 0.378|       | 0.783|       |  1|  1|00 55 54.346|+01 11 42.13|32135857|J00555434+0111420|    6.10|  -15.60|1|SA 92-497
92 498     |14.408|       | 1.010|       | 0.794|       | 0.648|       | 0.531|       | 1.181|       |  1|  1|00 55 56.529|+01 10 40.86|32135859|J00555652+0110408|   12.50|   -1.60|1|SA 92-498
92 500     |15.841|       | 1.003|       | 0.211|       | 0.738|       | 0.599|       | 1.338|       |  1|  1|00 55 57.986|+01 10 25.14|32135863|J00555798+0110250|   10.80|  -12.20|1|SA 92-500
92 425     |13.941| 0.0038| 1.191| 0.0067| 1.173| 0.0115| 0.755| 0.0023| 0.627| 0.0027| 1.384| 0.0038| 36| 19|00 55 58.180|+00 52 58.49|31969395|J00555818+0052586|  -25.50|  -13.20|1|SA 92-425
92 426     |14.466| 0.0099| 0.729| 0.0131| 0.184| 0.0293| 0.412| 0.0078| 0.396| 0.0124| 0.809| 0.0120|  8|  4|00 55 59.594|+00 52 54.39|31969397|J00555959+0052545|   25.70|   -4.60|1|SA 92-426
92 501     |12.958|       | 0.610|       | 0.068|       | 0.345|       | 0.331|       | 0.677|       |  1|  1|00 56 00.113|+01 10 51.22|32135866|J00560011+0110512|  -15.00|  -18.80|1|SA 92-501
92 355     |14.965| 0.0088| 1.164| 0.0124| 1.201| 0.0465| 0.759| 0.0070| 0.645| 0.0052| 1.406| 0.0090| 15|  7|00 56 05.678|+00 50 46.78|31969400|J00560568+0050468|    7.50|  -11.30|1|SA 92-355
92 427     |14.953| 0.0021| 0.809| 0.0085| 0.352| 0.0233| 0.462| 0.0014| 2.922| 0.0113| 3.275| 0.0092|  2|  1|00 56 06.648|+01 00 20.83|32135867|J00560664+0100209|   -1.40|   -2.40|1|SA 92-427
92 502     |11.812|       | 0.486|       |-0.095|       | 0.284|       | 0.292|       | 0.576|       |  1|  1|00 56 08.126|+01 04 25.04|32135868|J00560812+0104251|    5.90|    3.20|1|SA 92-502
92 430     |14.440| 0.0041| 0.567| 0.0052|-0.040| 0.0081| 0.338| 0.0029| 0.338| 0.0049| 0.676| 0.0051| 35| 18|00 56 15.198|+00 53 18.20|31969404|J00561519+0053183|    1.20|   -8.30|1|SA 92-430
92 276     |12.036| 0.0039| 0.629| 0.0022| 0.067| 0.0039| 0.368| 0.0031| 0.357| 0.0031| 0.726| 0.0052| 21| 11|00 56 26.598|+00 41 50.72|31969408|J00562659+0041508|    3.50|  -42.00|1|SA 92-276
92 282     |12.969| 0.0031| 0.318| 0.0023|-0.038| 0.0044| 0.201| 0.0017| 0.221| 0.0023| 0.422| 0.0033| 27| 15|00 56 46.817|+00 38 29.50|31969418|J00564682+0038296|   22.10|   -7.30|1|SA 92-282
92 507     |11.332| 0.0006| 0.932| 0.0046| 0.688| 0.0006| 0.507| 0.0012| 0.461| 0.0006| 0.969| 0.0012|  3|  2|00 56 50.777|+01 05 59.65|32135888|J00565077+0105596|   20.70|   13.50|1|SA 92-507
92 508     |11.679| 0.0035| 0.529| 0.0046|-0.047| 0.0029| 0.318| 0.0058| 0.320| 0.0029| 0.639| 0.0029|  3|  2|00 56 51.196|+01 09 34.19|32135889|J00565119+0109340|   -6.50|  -20.20|1|SA 92-508
92 364     |11.673| 0.0015| 0.607| 0.0015|-0.037| 0.0085| 0.356| 0.0045| 0.357| 0.0010| 0.714| 0.0055|  4|  2|00 56 52.235|+00 43 53.58|31969421|J00565223+0043534|   16.50| -107.20|1|SA 92-364
92 433     |11.667| 0.0006| 0.655| 0.0035| 0.110| 0.0115| 0.367| 0.0029| 0.348| 0.0017| 0.716| 0.0023|  3|  2|00 56 53.726|+01 00 41.72|32135891|J00565372+0100415|   31.40|  -36.70|1|SA 92-433
92 288     |11.631| 0.0011| 0.858| 0.0007| 0.472| 0.0014| 0.491| 0.0006| 0.441| 0.0008| 0.932| 0.0011| 72| 57|00 57 17.005|+00 36 48.67|31969435|J00571700+0036487|    3.30|    4.40|1|SA 92-288
F 11       |12.065| 0.0007|-0.239| 0.0007|-0.988| 0.0017|-0.118| 0.0006|-0.142| 0.0010|-0.259| 0.0011| 91| 75|01 04 21.676|+04 13 37.04|33161546|J01042167+0413369|   12.10|  -30.40|1|Feige  11
F 11A      |14.475| 0.0027| 0.841| 0.0046| 0.454| 0.0128| 0.479| 0.0036| 0.426| 0.0075| 0.907| 0.0098| 16|  7|01 04 27.970|+04 11 55.40|        |J01042796+0411554|   40.00|   28.00|2|[L92b] F 11A
F 11B      |13.784| 0.0025| 0.747| 0.0026| 0.234| 0.0043| 0.437| 0.0021| 0.412| 0.0036| 0.849| 0.0055| 14|  7|01 04 28.389|+04 11 25.09|33161551|J01042838+0411250|   17.10|    2.40|1|[L92b] F 11B
F 16       |12.405| 0.0007|-0.008| 0.0007| 0.013| 0.0018|-0.007| 0.0008| 0.002| 0.0013|-0.004| 0.0013| 59| 46|01 54 34.633|-06 45 59.67|29389699|J01543462-0645596|   17.60|   -4.40|1|Feige  16
93 407     |11.971| 0.0027| 0.852| 0.0031| 0.564| 0.0134| 0.487| 0.0031| 0.421| 0.0036| 0.908| 0.0027|  5|  3|01 54 37.126|+00 53 47.93|31971271|J01543712+0053477|   78.90|  -31.90|1|SA 93-407
93 317     |11.546| 0.0005| 0.488| 0.0006|-0.053| 0.0012| 0.293| 0.0006| 0.299| 0.0006| 0.592| 0.0006| 53| 44|01 54 37.728|+00 43 00.57|31971272|J01543773+0043005|   -9.30|  -19.30|1|SA 93-317
93 333     |12.009| 0.0009| 0.833| 0.0012| 0.436| 0.0021| 0.469| 0.0007| 0.422| 0.0009| 0.892| 0.0009| 54| 44|01 55 05.218|+00 45 42.57|31971295|J01550521+0045425|   19.70|   -2.30|1|SA 93-333
93 424     |11.619| 0.0006| 1.083| 0.0010| 0.929| 0.0018| 0.553| 0.0006| 0.501| 0.0005| 1.056| 0.0006| 55| 44|01 55 26.364|+00 56 42.63|31971310|J01552636+0056425|    4.80|   -2.80|1|SA 93-424
G3 33      |12.298| 0.0032| 1.802| 0.0034| 1.306| 0.0098| 1.355| 0.0033| 1.752| 0.0017| 3.103| 0.0037| 13|  7|02 00 12.959|+13 03 07.01|36403434|J02001278+1303112|-1092.00|-1772.90|1|G3-33
PG0220+132B|14.216| 0.0081| 0.937| 0.0375| 0.319| 0.0583| 0.562| 0.0058| 0.496| 0.0127| 1.058| 0.0069|  3|  2|02 23 33.863|+13 28 03.98|36404363|J02233386+1328041|  -14.80|   -0.40|1|[L92b] PG 0220+132 B
PG0220+132 |14.760| 0.0063|-0.132| 0.0112|-0.922| 0.0103|-0.050| 0.0098|-0.120| 0.0170|-0.170| 0.0264|  5|  3|02 23 38.419|+13 27 34.70|36404369|J02233842+1327349|    2.60|   -0.70|1|PG 0220+132
PG0220+132A|15.771| 0.0150| 0.783| 0.0699|-0.339| 0.0537| 0.514| 0.0110| 0.481| 0.0589| 0.995| 0.0479|  3|  2|02 23 39.989|+13 27 29.89|36404370|J02233999+1327301|    5.20|   -7.80|1|[L92b] PG 0220+132 A
F 22       |12.798| 0.0009|-0.052| 0.0007|-0.809| 0.0015|-0.103| 0.0007|-0.105| 0.0013|-0.206| 0.0013| 80| 70|02 30 16.627|+05 15 50.70|33509154|J02301662+0515508|   75.60|  -23.50|1|Feige  22
PG0231+051E|13.809| 0.0019| 0.677| 0.0014| 0.207| 0.0019| 0.383| 0.0006| 0.369| 0.0013| 0.752| 0.0019| 15|  8|02 33 28.872|+05 19 48.38|33509282|J02332886+0519483|   -6.50|   -9.90|1|[L92b] PG 0231+051 E
PG0231+051D|14.031| 0.0018| 1.077| 0.0022| 1.026| 0.0081| 0.671| 0.0011| 0.584| 0.0029| 1.252| 0.0034| 19| 11|02 33 34.000|+05 19 30.90|        |J02333399+0519308|   50.00|  -36.00|2|[L92b] PG 0231+051 D
PG0231+051A|12.768| 0.0004| 0.711| 0.0011| 0.271| 0.0007| 0.405| 0.0005| 0.388| 0.0015| 0.794| 0.0017| 16| 10|02 33 40.067|+05 17 40.68|33509289|J02334005+0517405|   -9.00|  -46.70|1|[L92b] PG 0231+051 A
PG0231+051 |16.096| 0.0055|-0.320| 0.0057|-1.214| 0.0028|-0.144| 0.0117|-0.373| 0.0627|-0.502| 0.0654| 33| 18|02 33 41.360|+05 18 43.63|33509290|J02334135+0518443|   13.00|   -7.60|1|PG 0231+051
PG0231+051B|14.732| 0.0017| 1.437| 0.0049| 1.279| 0.0119| 0.951| 0.0007| 0.991| 0.0015| 1.933| 0.0022| 26| 14|02 33 45.528|+05 17 33.30|33509291|J02334552+0517332|   15.10|  -14.30|1|[L92b] PG 0231+051 B
PG0231+051C|13.707| 0.0009| 0.678| 0.0019| 0.078| 0.0011| 0.396| 0.0007| 0.385| 0.0012| 0.783| 0.0019| 16|  9|02 33 48.153|+05 20 26.36|33509293|J02334814+0520262|  -24.50|  -30.80|1|[L92b] PG 0231+051 C
F 24       |12.412| 0.0010|-0.203| 0.0006|-1.182| 0.0017| 0.087| 0.0008| 0.361| 0.0010| 0.444| 0.0008|128|115|02 35 07.592|+03 43 56.79|32986671|J02350758+0343567|   79.70|    4.40|1|Feige  24
