#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:51:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589106004be6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/146/131&tab:{J/AJ/146/131/standards}&key:source=J/AJ/146/131/standards&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/146/131/standards
#-order=I
#-out=Name
#-out=N
#-out=<Vmag>
#-out=e_<Vmag>
#-out=<B-V>
#-out=<U-B>
#-out=<V-R>
#-out=<R-I>
#-out=<V-I>
#-out=No
#-out=Nn
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51460131
#Name: J/AJ/146/131
#Title: UBVRI standard stars at +50{deg} declination (Landolt, 2013)
#Table	J_AJ_146_131_standards:
#Name: J/AJ/146/131/standards
#Title: UBVRI photometry of standard stars at Northern Declinations {\em (Table2)}, and at the Celestial Equator {\em (Table3)}, completed with accurate astrometry {\em (Table5)}
#Column	Name	(a12)	Standard star name (G1)	[ucd=meta.id;meta.main]
#Column	N	(A1)	{\bf N} indicates a note on this star	[ucd=meta.ref.url]
#Column	<Vmag>	(F6.3)	Mean V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_<Vmag>	(F7.4)	? Mean error in <Vmag>	[ucd=stat.error;phot.mag;em.opt.V]
#Column	<B-V>	(F6.3)	Mean B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	<U-B>	(F6.3)	Mean U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	<V-R>	(F6.3)	Mean V-R color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	<R-I>	(F6.3)	? Mean R-I color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	<V-I>	(F6.3)	? Mean V-I color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	No	(I2)	Number of times that each star was observed	[ucd=meta.number]
#Column	Nn	(I2)	Number of nights during which a star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A17)	2MASS name (cat. II/246) (JHHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	pmRA	(F6.1)	Proper motion in Right Ascension (1)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	Proper motion in Declination (1)	[ucd=pos.pm;pos.eq.dec]
#Column	SimbadName	(A23)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|N|<Vmag>|e_<Vmag>|<B-V>|<U-B>|<V-R>|<R-I>|<V-I>|No|Nn|RAJ2000|DEJ2000|2MASS|pmRA|pmDE|SimbadName
 | |mag|mag|mag|mag|mag|mag|mag| | |"h:m:s"|"d:m:s"| |mas/yr|mas/yr|
------------|-|------|-------|------|------|------|------|------|--|--|------------|------------|-----------------|------|------|-----------------------
GD 2B       | |13.279| 0.0010| 0.588|-0.001| 0.350| 0.349| 0.697|19|10|00 07 25.484|+33 19 00.17|J00072547+3319002|  -9.6| -21.6|2MASS J00072547+3319002
GD 2A       | |14.853| 0.0024| 0.912| 0.684| 0.530| 0.462| 1.002|17| 8|00 07 26.174|+33 18 19.18|J00072616+3318191| -17.3|  -9.7|2MASS J00072616+3318191
GD 2        |N|13.802| 0.0015|-0.295|-1.192|-0.142|-0.171|-0.313|26|13|00 07 32.261|+33 17 27.62|J00073225+3317275| -78.1| -66.7|2MASS J00073225+3317275
GD 2C       | |13.314| 0.0013| 0.619| 0.081| 0.360| 0.357| 0.718|17| 8|00 07 32.355|+33 20 14.69|J00073235+3320147|  -4.5|   1.8|2MASS J00073235+3320147
GD 2E       | |15.188| 0.0024| 0.575| 0.076| 0.339| 0.323| 0.652| 7| 4|00 07 36.675|+33 17 41.73|J00073667+3317418|   6.1|  -0.2|2MASS J00073667+3317418
GD 2D       | |14.255| 0.0049| 0.605| 0.007| 0.355| 0.370| 0.729| 9| 5|00 07 41.634|+33 17 57.33|J00074163+3317573|  -7.5|  -5.9|2MASS J00074163+3317573
GD 410      |N|12.845|       | 0.725| 0.086| 0.441| 0.438| 0.879| 1| 1|00 35 24.704|+60 58 11.27|J00352470+6058113| 109.1|  42.1|2MASS J00352470+6058113
GD 8C       | |13.299| 0.0016| 0.636| 0.140| 0.371| 0.358| 0.724|14| 7|00 39 37.145|+31 37 03.40|J00393714+3137034|  -5.9| -11.5|2MASS J00393714+3137034
GD 8A       | |14.593| 0.0011| 0.695| 0.199| 0.400| 0.378| 0.780|17| 9|00 39 40.965|+31 32 44.53|J00394096+3132445|  -3.6| -10.7|2MASS J00394096+3132445
GD 8B       | |13.653| 0.0006| 0.803| 0.454| 0.446| 0.395| 0.837|17| 8|00 39 44.863|+31 36 36.48|J00394486+3136364|   8.2| -13.3|2MASS J00394486+3136364
GD 8        |N|14.699| 0.0012|-0.275|-1.169|-0.145|-0.197|-0.348|17| 9|00 39 52.163|+31 32 29.19|J00395215+3132292|  70.6| -56.6|2MASS J00395215+3132292
SA 20-245   |N| 8.951| 0.0017| 0.866| 0.575| 0.476| 0.421| 0.894| 9| 4|00 44 21.182|+45 55 12.77|J00442119+4555126| -44.8|  28.4|2MASS J00442119+4555126
SA 20-130   | |11.032| 0.0005| 1.052| 0.845| 0.553| 0.514| 1.069|11| 6|00 44 44.437|+45 49 50.97|J00444443+4549509|   1.9|  -5.1|2MASS J00444443+4549509
SA 20-133   | |10.824| 0.0007| 0.457| 0.138| 0.268| 0.260| 0.528|10| 6|00 44 49.522|+45 44 57.85|J00444952+4544577|   8.1|  -6.4|2MASS J00444952+4544577
SA 20-139   | |11.272| 0.0006| 1.076| 0.893| 0.567| 0.522| 1.091|10| 5|00 45 13.834|+45 47 48.08|J00451382+4547481|   7.8|  -9.7|2MASS J00451382+4547481
