		Astrodon Photometrics  Johnson/Cousins Filters															
Wavelength (nm)	UV	B	V	Rc	Ic												
290	4.34E-05	0.000134584	8.27E-05	0.00018206	0.007591864
291	6.18E-05	-3.41E-05	0.000152115	0.000540794	0.024591159
292	4.22E-05	0.00015009	0.000316099	0.001130749	0.045749299
293	3.99E-05	0.000141543	0.000581974	0.001678374	0.056184694
294	2.52E-05	3.42E-05	0.001432316	0.001583283	0.049827725
295	2.91E-05	0.000110655	0.002080434	0.001053462	0.033959754
296	2.91E-05	5.07E-05	0.003295348	0.000666241	0.021818336
297	2.14E-05	9.95E-05	0.005829656	0.000529752	0.012982437
298	2.77E-05	0.000146144	0.007176393	0.000438185	0.005201237
299	4.09E-05	1.37E-05	0.004462808	0.000243583	0.001516921
300	3.51E-05	1.75E-05	0.003925114	6.46E-05	0.000480396
301	4.48E-05	0.000158153	0.007016374	2.39E-05	0.000316174
302	0.000726957	-3.04E-05	0.015131135	6.29E-05	0.001535253
303	0.005027345	5.81E-05	0.040722888	0.000112597	0.003675212
304	0.022762425	0.0002344	0.070402361	0.000357615	0.003770184
305	0.093031973	0.000218049	0.059959974	0.00065918	0.001635309
306	0.340196312	-0.000118641	0.020867886	0.000794677	0.000115223
307	0.542839944	-8.85E-06	0.001432347	0.000772669	0.000185123
308	0.335653812	-5.22E-05	0.000176412	0.000521391	0.000408851
309	0.083338469	0.000111704	0.000187222	0.000298872	0.000497493
310	0.023758762	0.00039852	0.000599127	0.00016978	0.000351224
311	0.003305532	-0.000157032	0.000871019	0.000159298	0.00020217 
312	0.000552029	0.000197438	0.000833719	0.000172816	0.000378819
313	0.002247442	-8.53E-05	0.000418929	0.000238484	0.000638346
314	0.009513322	0.000207874	0.000203777	0.00032856	0.000592959
315	0.082818575	-0.000277433	0.000209652	0.000312108	0.000261705
316	0.613442183	0.000173358	0.000591259	0.000240299	4.59E-05   
317	1.266263485	0.000204521	0.001379931	0.000149815	7.44E-05   
318	1.040780425	-7.40E-05	0.002624003	0.00013585	5.70E-05   
319	0.372249574	0.000142021	0.010543402	0.000404342	7.19E-05   
320	0.084767364	-7.53E-05	0.027477814	0.001766842	0.000175095
321	0.086272575	0.000377977	0.03199745	0.00353788	0.00029842 
322	0.079021029	-5.34E-05	0.0142172	0.003572605	0.000287381
323	0.032311156	-0.000286541	0.000196537	0.002267193	0.000251205
324	0.001764045	-0.000316309	6.73E-05	0.001336949	0.002790762
